name,id,duration,three_race_duration,help_label,racetrack_2,racetrack_3,lap_2,lap_3,lap_4,lap_5,help_2,help_3,experience_2,experience_3,race_number_2,race_number_3,lap
LW ID1,8,55.44,996.3,With Driving Coach,False,False,False,False,False,True,True,False,True,False,False,False,5
LW ID1,8,80.58,996.3,With Ideal Driving Line,True,False,False,False,False,False,False,True,True,False,True,False,1
LW ID1,8,98.35,996.3,With Ideal Driving Line,True,False,True,False,False,False,False,True,True,False,True,False,2
LW ID1,8,77.61,996.3,With Ideal Driving Line,True,False,False,True,False,False,False,True,True,False,True,False,3
LW ID1,8,77.96,996.3,With Ideal Driving Line,True,False,False,False,True,False,False,True,True,False,True,False,4
LW ID1,8,71.32,996.3,With Ideal Driving Line,True,False,False,False,False,True,False,True,True,False,True,False,5
LW ID1,8,65.88,996.3,No Assistance,False,True,False,False,False,False,False,False,True,False,False,True,1
LW ID1,8,62.23,996.3,No Assistance,False,True,True,False,False,False,False,False,True,False,False,True,2
LW ID1,8,66.0,996.3,No Assistance,False,True,False,True,False,False,False,False,True,False,False,True,3
LW ID1,8,61.18,996.3,No Assistance,False,True,False,False,True,False,False,False,True,False,False,True,4
LW ID1,8,65.71,996.3,No Assistance,False,True,False,False,False,True,False,False,True,False,False,True,5
JS ID2,9,90.22,982.48,With Ideal Driving Line,True,False,False,False,False,False,False,True,True,False,False,False,1
JS ID2,9,81.08,982.48,With Ideal Driving Line,True,False,True,False,False,False,False,True,True,False,False,False,2
JS ID2,9,74.01,982.48,With Ideal Driving Line,True,False,False,True,False,False,False,True,True,False,False,False,3
JS ID2,9,72.37,982.48,With Ideal Driving Line,True,False,False,False,True,False,False,True,True,False,False,False,4
JS ID2,9,89.44,982.48,With Ideal Driving Line,True,False,False,False,False,True,False,True,True,False,False,False,5
JS ID2,9,65.7,982.48,No Assistance,False,True,False,False,False,False,False,False,True,False,True,False,1
JS ID2,9,60.51,982.48,No Assistance,False,True,True,False,False,False,False,False,True,False,True,False,2
JS ID2,9,71.82,982.48,No Assistance,False,True,False,True,False,False,False,False,True,False,True,False,3
JS ID2,9,61.53,982.48,No Assistance,False,True,False,False,True,False,False,False,True,False,True,False,4
JS ID2,9,63.02,982.48,No Assistance,False,True,False,False,False,True,False,False,True,False,True,False,5
JS ID2,9,57.89,982.48,With Driving Coach,False,False,False,False,False,False,True,False,True,False,False,True,1
JS ID2,9,49.75,982.48,With Driving Coach,False,False,True,False,False,False,True,False,True,False,False,True,2
JS ID2,9,53.04,982.48,With Driving Coach,False,False,False,True,False,False,True,False,True,False,False,True,3
JS ID2,9,45.62,982.48,With Driving Coach,False,False,False,False,True,False,True,False,True,False,False,True,4
JS ID2,9,46.48,982.48,With Driving Coach,False,False,False,False,False,True,True,False,True,False,False,True,5
MH ID13,10,99.46,1329.34,No Assistance,False,False,False,False,False,False,False,False,True,False,False,False,1
MH ID13,10,68.0,1329.34,No Assistance,False,False,True,False,False,False,False,False,True,False,False,False,2
MH ID13,10,76.96,1329.34,No Assistance,False,False,False,True,False,False,False,False,True,False,False,False,3
MH ID13,10,70.72,1329.34,No Assistance,False,False,False,False,True,False,False,False,True,False,False,False,4
MH ID13,10,87.25,1329.34,No Assistance,False,False,False,False,False,True,False,False,True,False,False,False,5
MH ID13,10,93.01,1329.34,With Driving Coach,True,False,False,False,False,False,True,False,True,False,True,False,1
MH ID13,10,110.65,1329.34,With Driving Coach,True,False,True,False,False,False,True,False,True,False,True,False,2
MH ID13,10,93.11,1329.34,With Driving Coach,True,False,False,True,False,False,True,False,True,False,True,False,3
MH ID13,10,99.13,1329.34,With Driving Coach,True,False,False,False,True,False,True,False,True,False,True,False,4
MH ID13,10,87.89,1329.34,With Driving Coach,True,False,False,False,False,True,True,False,True,False,True,False,5
MH ID13,10,76.01,1329.34,With Ideal Driving Line,False,True,False,False,False,False,False,True,True,False,False,True,1
MH ID13,10,111.12,1329.34,With Ideal Driving Line,False,True,True,False,False,False,False,True,True,False,False,True,2
MH ID13,10,87.73,1329.34,With Ideal Driving Line,False,True,False,True,False,False,False,True,True,False,False,True,3
MH ID13,10,73.52,1329.34,With Ideal Driving Line,False,True,False,False,True,False,False,True,True,False,False,True,4
MH ID13,10,94.78,1329.34,With Ideal Driving Line,False,True,False,False,False,True,False,True,True,False,False,True,5
NS ID4,11,91.19,1105.42,With Driving Coach,True,False,False,False,False,False,True,False,True,False,False,False,1
NS ID4,11,88.86,1105.42,With Driving Coach,True,False,True,False,False,False,True,False,True,False,False,False,2
NS ID4,11,91.21,1105.42,With Driving Coach,True,False,False,True,False,False,True,False,True,False,False,False,3
NS ID4,11,86.01,1105.42,With Driving Coach,True,False,False,False,True,False,True,False,True,False,False,False,4
NS ID4,11,72.65,1105.42,With Driving Coach,True,False,False,False,False,True,True,False,True,False,False,False,5
NS ID4,11,84.74,1105.42,With Ideal Driving Line,False,True,False,False,False,False,False,True,True,False,True,False,1
NS ID4,11,67.51,1105.42,With Ideal Driving Line,False,True,True,False,False,False,False,True,True,False,True,False,2
NS ID4,11,68.64,1105.42,With Ideal Driving Line,False,True,False,True,False,False,False,True,True,False,True,False,3
NS ID4,11,75.62,1105.42,With Ideal Driving Line,False,True,False,False,True,False,False,True,True,False,True,False,4
NS ID4,11,73.27,1105.42,With Ideal Driving Line,False,True,False,False,False,True,False,True,True,False,True,False,5
NS ID4,11,58.74,1105.42,No Assistance,False,False,False,False,False,False,False,False,True,False,False,True,1
NS ID4,11,64.46,1105.42,No Assistance,False,False,True,False,False,False,False,False,True,False,False,True,2
NS ID4,11,59.31,1105.42,No Assistance,False,False,False,True,False,False,False,False,True,False,False,True,3
NS ID4,11,61.3,1105.42,No Assistance,False,False,False,False,True,False,False,False,True,False,False,True,4
NS ID4,11,61.91,1105.42,No Assistance,False,False,False,False,False,True,False,False,True,False,False,True,5
VK ID14,12,70.78,955.26,With Ideal Driving Line,False,True,False,False,False,False,False,True,True,False,False,False,1
VK ID14,12,65.68,955.26,With Ideal Driving Line,False,True,True,False,False,False,False,True,True,False,False,False,2
VK ID14,12,66.3,955.26,With Ideal Driving Line,False,True,False,True,False,False,False,True,True,False,False,False,3
VK ID14,12,72.59,955.26,With Ideal Driving Line,False,True,False,False,True,False,False,True,True,False,False,False,4
VK ID14,12,62.11,955.26,With Ideal Driving Line,False,True,False,False,False,True,False,True,True,False,False,False,5
VK ID14,12,54.88,955.26,No Assistance,False,False,False,False,False,False,False,False,True,False,True,False,1
VK ID14,12,47.98,955.26,No Assistance,False,False,True,False,False,False,False,False,True,False,True,False,2
VK ID14,12,49.79,955.26,No Assistance,False,False,False,True,False,False,False,False,True,False,True,False,3
VK ID14,12,53.31,955.26,No Assistance,False,False,False,False,True,False,False,False,True,False,True,False,4
VK ID14,12,47.59,955.26,No Assistance,False,False,False,False,False,True,False,False,True,False,True,False,5
