,timestamp,current_engine_rpm,acceleration_x,acceleration_y,acceleration_z,velocity_x,velocity_y,velocity_z,yaw,pitch,roll,position_x,position_y,position_z,speed,power,torque
180,3039,8999.9951171875,7.429835796356201,0.021356739103794098,-0.18798351287841797,1.3226981163024902,0.058914922177791595,5.149199485778809,1.7078474760055542,0.005350008606910706,0.015357106924057007,-5055.88525390625,178.8306884765625,-272.3459167480469,5.3166961669921875,37419.50390625,193.05264282226562
198,3170,8999.9951171875,7.725620269775391,-0.059018831700086594,-2.493901252746582,1.482298731803894,0.052704330533742905,5.033401966094971,1.872287631034851,0.0037844961043447256,0.01480894722044468,-5055.26953125,178.83773803710938,-272.671142578125,5.247392177581787,-4650.1435546875,-24.59482765197754
216,3311,8999.9951171875,6.895611763000488,-0.0672309473156929,-2.7509148120880127,1.4672600030899048,0.05388450250029564,4.847376823425293,2.0519118309020996,0.0029420421924442053,0.013516083359718323,-5054.7412109375,178.8453826904297,-273.1025695800781,5.064860820770264,-4209.8857421875,-22.983903884887695
234,3445,8999.9951171875,6.027010440826416,-0.061405688524246216,-2.0015053749084473,1.4345861673355103,0.053136005997657776,4.713733673095703,2.2274179458618164,0.001961554167792201,0.011635840870440006,-5054.3125,178.8533935546875,-273.605224609375,4.927488803863525,-3855.89111328125,-21.635089874267578
252,3576,8999.9951171875,6.405945301055908,-0.06080513820052147,-2.610386848449707,1.404213547706604,0.05186677724123001,4.593161582946777,2.3948419094085693,0.0012329963501542807,0.00956235732883215,-5053.99267578125,178.86119079589844,-274.1479797363281,4.8032941818237305,-2313.728515625,-13.310480117797852
270,3704,8999.9951171875,6.854915618896484,-0.017349643632769585,0.622201681137085,1.447883129119873,0.05218689516186714,4.834275245666504,2.554748058319092,0.00023385882377624512,0.00758545333519578,-5053.77197265625,178.86875915527344,-274.7165222167969,5.0467119216918945,39992.67578125,215.58338928222656
288,3837,8999.9951171875,7.252167701721191,0.0201222263276577,5.22598123550415,1.5224058628082275,0.05256279930472374,5.685718059539795,2.733222246170044,-0.0013946021208539605,0.005740668624639511,-5053.6220703125,178.8772735595703,-275.4089660644531,5.88624382019043,85654.2578125,395.06793212890625
306,3966,8999.9951171875,2.7191479206085205,0.045566413551568985,9.674925804138184,0.9226519465446472,0.05777096748352051,7.1765031814575195,2.896641969680786,-0.0023004652466624975,0.0012433977099135518,-5053.5068359375,178.88653564453125,-276.26171875,7.235800266265869,136813.421875,498.3235778808594
324,4112,8999.9951171875,2.9782896041870117,0.22389832139015198,11.605445861816406,0.5457558631896973,0.0862528383731842,8.674765586853027,3.0062432289123535,-0.0020047612488269806,-0.0008741015917621553,-5053.41357421875,178.897705078125,-277.2605895996094,8.692343711853027,214884.96875,637.7952880859375
342,4248,8999.9951171875,1.6815965175628662,-0.005230216309428215,13.301309585571289,0.17432141304016113,0.08046796917915344,10.365331649780273,3.0753567218780518,-0.0025020812172442675,-0.0009958894224837422,-5053.337890625,178.91110229492188,-278.476806640625,10.367110252380371,397646.15625,883.546142578125
360,4380,8999.9951171875,1.371309757232666,0.22970622777938843,15.767682075500488,-0.13839733600616455,0.10132159292697906,12.437976837158203,3.1181893348693848,-0.003773247357457876,-0.00043778339750133455,-5053.27685546875,178.9277801513672,-279.94805908203125,12.439159393310547,678741.75,1071.582763671875
378,4508,8999.9951171875,0.6229410171508789,-0.16377612948417664,14.394824028015137,-0.5285785794258118,0.06985968351364136,14.335946083068848,-3.136103391647339,-0.005730521399527788,-0.002230841899290681,-5053.21923828125,178.94876098632812,-281.67681884765625,14.345855712890625,875597.9375,1007.2283935546875
396,4636,8999.9951171875,0.07893115282058716,0.2552773952484131,14.451864242553711,-0.7496962547302246,0.07049374282360077,16.1722412109375,-3.1177327632904053,-0.00836120918393135,-0.0033628996461629868,-5053.162109375,178.9716796875,-283.64105224609375,16.18976402282715,-164639.671875,-198.891845703125
414,4771,8999.9951171875,-0.8038294911384583,0.4744354486465454,12.50809097290039,-0.4873850643634796,0.17052310705184937,17.329776763916016,-3.12842059135437,-0.005804536864161491,-0.0038385086227208376,-5053.1376953125,179.00128173828125,-285.7074890136719,17.337467193603516,487651.65625,851.37646484375
432,4913,8999.9951171875,-2.182365655899048,-0.29545021057128906,15.533731460571289,-0.12366625666618347,0.1251816749572754,19.51051902770996,3.120701551437378,-0.006399592850357294,-0.004148032516241074,-5053.0869140625,179.03778076171875,-288.2004089355469,19.511314392089844,636604.875,1062.884521484375
