'
timestamp in s': 41.829, 26.954, 'acceleration_x in m/s²': 0, -4, 'acceleration_y in m/s²': 0, 0, 'acceleration_z in m/s²': 10, 6, 'yaw in degrees': -2.44, -1.82, 'position_x in m': 484, 485, 'position_y in m': 267, 267, 'position_z in m': 2844, 2843, 'speed in km/h': 74, 75, 'lap_number': 0, 0, 'segment': 2, '
timestamp in s': 42.885, 27.996, 'acceleration_x in m/s²': 6, -9, 'acceleration_y in m/s²': 0, 0, 'acceleration_z in m/s²': -2, 5, 'yaw in degrees': -1.88, -2.12, 'position_x in m': 460, 461, 'position_y in m': 267, 267, 'position_z in m': 2833, 2832, 'speed in km/h': 102, 101, 'lap_number': 0, 0, 'segment': 2, '
timestamp in s': 43.954, 28.844, 'acceleration_x in m/s²': -13, -4, 'acceleration_y in m/s²': 1, 1, 'acceleration_z in m/s²': 9, -2, 'yaw in degrees': -2.9, -2.38, 'position_x in m': 436, 442, 'position_y in m': 267, 267, 'position_z in m': 2820, 2815, 'speed in km/h': 89, 95, 'lap_number': 0, 0, 'segment': 2, '
timestamp in s': 45.021, 29.629, 'acceleration_x in m/s²': -7, -19, 'acceleration_y in m/s²': 0, 0, 'acceleration_z in m/s²': 13, -1, 'yaw in degrees': 2.27, -2.89, 'position_x in m': 428, 432, 'position_y in m': 267, 267, 'position_z in m': 2799, 2799, 'speed in km/h': 71, 85, 'lap_number': 0, 0, 'segment': 2, '
timestamp in s': 46.043, 30.56, 'acceleration_x in m/s²': -3, -19, 'acceleration_y in m/s²': 0, 8, 'acceleration_z in m/s²': 10, 15, 'yaw in degrees': 2.25, 2.62, 'position_x in m': 434, 433, 'position_y in m': 267, 267, 'position_z in m': 2777, 2777, 'speed in km/h': 93, 99, 'lap_number': 0, 0, 'segment': 2, '
timestamp in s': 47.029, 31.664, 'acceleration_x in m/s²': -16, 0, 'acceleration_y in m/s²': 0, 0, 'acceleration_z in m/s²': -3, 9, 'yaw in degrees': 2.43, 1.88, 'position_x in m': 452, 451, 'position_y in m': 267, 267, 'position_z in m': 2752, 2750, 'speed in km/h': 116, 109, 'lap_number': 0, 0, 'segment': 2, '
timestamp in s': 48.061, 32.589, 'acceleration_x in m/s²': -11, -6, 'acceleration_y in m/s²': 0, 0, 'acceleration_z in m/s²': 14, 9, 'yaw in degrees': 1.69, 1.99, 'position_x in m': 478, 478, 'position_y in m': 268, 268, 'position_z in m': 2734, 2734, 'speed in km/h': 125, 140, 'lap_number': 0, 0, 'segment': 2, '
timestamp in s': 49.093, 33.541, 'acceleration_x in m/s²': 4, 12, 'acceleration_y in m/s²': 0, 0, 'acceleration_z in m/s²': 12, 11, 'yaw in degrees': 1.91, 1.91, 'position_x in m': 519, 518, 'position_y in m': 268, 268, 'position_z in m': 2723, 2721, 'speed in km/h': 171, 176, 'lap_number': 0, 0, 'segment': 3, '
timestamp in s': 50.148, 34.53, 'acceleration_x in m/s²': -10, -21, 'acceleration_y in m/s²': 0, 0, 'acceleration_z in m/s²': -6, -5, 'yaw in degrees': 1.37, 1.57, 'position_x in m': 565, 564, 'position_y in m': 269, 269, 'position_z in m': 2708, 2708, 'speed in km/h': 145, 162, 'lap_number': 0, 0, 'segment': 3, '
timestamp in s': 51.183, 35.449, 'acceleration_x in m/s²': -16, -19, 'acceleration_y in m/s²': 0, 2, 'acceleration_z in m/s²': -14, 7, 'yaw in degrees': 1.17, 1.25, 'position_x in m': 607, 604, 'position_y in m': 270, 270, 'position_z in m': 2706, 2711, 'speed in km/h': 137, 165, 'lap_number': 0, 0, 'segment': 3, '
